size time
100 6.08e-05
200 0.0001071
300 0.0001392
400 0.000206
500 0.0002398
600 0.0003042
700 0.0003288
800 0.0003872
900 0.0004245
1000 0.0004532
1100 0.000516
1200 0.0005509
1300 0.0005813
1400 0.0006187
1500 0.0006605
1600 0.0006893
1700 0.0006647
1800 0.0006954
1900 0.0006121
2000 0.000929
2100 0.0008666
2200 0.000803
2300 0.0008675
2400 0.0011663
2500 0.0009952
2600 0.0010186
2700 0.0010399
2800 0.0010456
2900 0.001129
3000 0.001069
3100 0.0009619
3200 0.0008932
3300 0.0011183
3400 0.0010776
3500 0.0012237
3600 0.0011758
3700 0.0011839
3800 0.0011691
3900 0.0011216
4000 0.0012405
4100 0.0012411
4200 0.001193
4300 0.0013891
4400 0.0013136
4500 0.0014927
4600 0.0014918
4700 0.0013231
4800 0.0014176
4900 0.0012722
5000 0.0013556
5100 0.001608
5200 0.001374
5300 0.0015648
5400 0.0015215
5500 0.0015494
5600 0.0017216
5700 0.0018079
5800 0.0015637
5900 0.0016388
6000 0.001647
6100 0.0015904
6200 0.0017941
6300 0.0018762
6400 0.0018654
6500 0.0017406
6600 0.0018171
6700 0.0017418
6800 0.0019201
6900 0.0019894
7000 0.0018424
